title,link,speaker
Openstack Swift Benchmark with Ansible,/2015apac/zh/program/12,Charles Hsu
....when thinking functionally with Python,/2015apac/zh/program/27,Apua Juan
Easy Map Applications Using Python,/2015apac/zh/program/63,Victor Gau
Python Debugger Uncovered,/2015apac/zh/program/39,Dmitry Trofimov
快快樂樂成為 Coding Ninja (by pytest),/2015apac/zh/program/83,Chun-Yu Tseng
Happy rapid prototyping embedded assembly by Python: My Experience,/2015apac/zh/program/32,Albert Huang
Programmatic Debugging with GDB and Python,/2015apac/zh/program/104,Scott Tsai
ZoneIDAProc: Instrumentation-based Dynamic Accessing,/2015apac/zh/program/53,Tzung-Bi Shih
Orchestrating the execution of workflows for media streaming service and even more,/2015apac/zh/program/92,Shuen-Huei Guan
The Future of GUI Programming with Python,/2015apac/zh/program/18,Tzu-ping Chung
Future Development of PyCON in Asia Pacific,/2015apac/zh/program/78,Sammy Fung
教練，我想寫  Django app 給大家用,/2015apac/zh/program/16,Tim Hsu
RPyScan,/2015apac/zh/program/56,Melvin Foo Hannie Ching  Tan Le Xuan
Network Security and Analysis with Python ,/2015apac/zh/program/52,Lee Yang Peng
Tagtoo Task Manager,/2015apac/zh/program/80,Chien Hsun Chen
MMO Game Server Design with Twisted Python,/2015apac/zh/program/25,Dan Maas
Millions way to avoid overfitting when building a portfolio ,/2015apac/zh/program/91,Chia-Yi Yen
How to scale up your Web Apps/Sites written by Python?,/2015apac/zh/program/89,Theon Lin
利用 IPython Notebook 來互動簡報與教學,/2015apac/zh/program/42,Tzer-jen Wei
Global Interpreter Lock: Episode I - Break the Seal,/2015apac/zh/program/41,Tzung-Bi Shih
Liquid crystal device simulation with Python,/2015apac/zh/program/73,Zong-han Xie
Building a Scalable Python gRPC Service using Kubernetes,/2015apac/zh/program/65,Ian Lewis
Python & LLVM,/2015apac/zh/program/74,枫 李
Data Analysis in Wearable Technologies,/2015apac/zh/program/97,Jennifer Ma
Easy contributable internationalization process with Sphinx,/2015apac/zh/program/50,Takayuki Shimizukawa
Python 讓你的眼睛聽得見,/2015apac/zh/program/76,Yuchi Lin
Information extraction with Python,/2015apac/zh/program/61,jiawei chen
How to build a recommendation system with python,/2015apac/zh/program/101,Chia-Chi Chang
以雲端語音合成技術為基礎的音文同步有聲書之建立系統,/2015apac/zh/program/58,Chao-Kai Chang
Marsface Project: Detecting Pseudo-artificial Structures on Mars,/2015apac/zh/program/71,Hideki Tanaka
How developers are building applications on the cloud,/2015apac/zh/program/111,"Angus Ip, Ben Cheng"
ceph 介紹,/2015apac/zh/program/37,高 國棟
"for physics in blender:   (or, what light looks like)",/2015apac/zh/program/72,David Mikolas
Python HDF5 Use Case,/2015apac/zh/program/24,Liang Bo Wang
Click Fraud Detection in the Mobile Advertising Using Python,/2015apac/zh/program/110,伯任 許
Sentiment Analysis by NLTK,/2015apac/zh/program/79,Wei-Ting Kuo
"Play Data, Play Ball!",/2015apac/zh/program/103,Summit Suen
工程師沒告訴設計師的事 / Happy Together: Designer and Programmer,/2015apac/zh/program/95,TsungWei Hu
The Implementation of Rubik's Cube Formula in PyCuber,/2015apac/zh/program/99,Adrian Liaw
Kernel-mapper (Tool to simplify the use of PyOpenCL),/2015apac/zh/program/48,Kilik Kuo
Python與電子設計自動化：用愛與堅持實現專業,/2015apac/zh/program/102,Ko-Lung Yuan
Gandi CLI,/2015apac/zh/program/108,Thomas Kuiper
Sphinx autodoc: automated API documentation,/2015apac/zh/program/69,Takayuki Shimizukawa
Machine learning in Finance using Python,/2015apac/zh/program/20,Eric Tham
Building Static Blogs using Pelican,/2015apac/zh/program/14,Quazi Nafiul Islam
